M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
0.955,0.950,0.968,0.962,0.968,0.969,0.970,0.970,0.969,0.970,,
0.924,0.924,0.930,0.930,0.933,0.933,0.931,0.929,0.926,0.927,,
0.953,0.964,0.954,0.873,0.881,0.630,0.831,0.740,0.887,0.716,0.834,0.747
